rank,Player,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,BBM,Ave,Econ,SR,4,team,bowler_surname,year,season,bowler,overall_key_count,home_key_count,away_key_count,team_position,Team Name
12,RD Chahar (MI),13,13,282,47.0,-,308,13,3/19,3/19,23.69,6.55,21.69,-,MI,Chahar,2019,2019,Deepak Chahar,9.0,4.0,5.0,1.0,Mumbai Indians
13,I Sharma (DC),13,13,276,46.0,1,349,13,3/38,3/38,26.84,7.58,21.23,-,DC,Sharma,2019,2019,Ishant Sharma,4.0,2.0,2.0,3.0,Delhi Capitals
14,B Kumar (SRH),15,15,354,59.0,1,461,13,2/24,2/24,35.46,7.81,27.23,-,SRH,Kumar,2019,2019,Bhuvneshwar Kumar,5.0,2.0,3.0,4.0,Sunrisers Hyderabad
15,KH Pandya (MI),16,16,276,46.0,-,335,12,3/34,3/34,27.91,7.28,23.00,-,MI,Pandya,2019,2019,Krunal Pandya,5.0,3.0,2.0,1.0,Mumbai Indians
1,AJ Tye (KXIP),14,14,336,56.0,-,448,24,4/16,4/16,18.66,8.00,14.00,3,KXIP,Tye,2018,2018,Andrew Tye,10.0,6.0,4.0,7.0,Kings XI Punjab
2,Rashid Khan (SRH),17,17,408,68.0,2,458,21,3/19,3/19,21.80,6.73,19.42,-,SRH,Khan,2018,2018,Rashid Khan,7.0,4.0,3.0,1.0,Sunrisers Hyderabad
3,S Kaul (SRH),17,17,396,66.0,-,547,21,3/23,3/23,26.04,8.28,18.85,-,SRH,Kaul,2018,2018,Siddarth Kaul,9.0,5.0,4.0,1.0,Sunrisers Hyderabad
4,HH Pandya (MI),13,13,256,42.4,-,381,18,3/24,3/24,21.16,8.92,14.22,-,MI,Pandya,2018,2018,Hardik Pandya,7.0,4.0,3.0,5.0,Mumbai Indians
5,TA Boult (DC),14,14,316,52.4,1,466,18,2/20,2/20,25.88,8.84,17.55,-,DC,Boult,2018,2018,Trent Boult,7.0,4.0,3.0,,
6,JJ Bumrah (MI),14,14,324,54.0,-,372,17,3/15,3/15,21.88,6.88,19.05,-,MI,Bumrah,2018,2018,Jasprit Bumrah,7.0,3.0,4.0,5.0,Mumbai Indians
7,Kuldeep Yadav (KKR),16,16,308,51.2,-,418,17,4/20,4/20,24.58,8.14,18.11,1,KKR,Yadav,2018,2018,Umesh Yadav,8.0,3.0,5.0,3.0,Kolkata Knight Riders
8,SP Narine (KKR),16,16,366,61.0,-,467,17,3/18,3/18,27.47,7.65,21.52,-,KKR,Narine,2018,2018,Sunil Narine,9.0,6.0,3.0,3.0,Kolkata Knight Riders
9,SN Thakur (CSK),13,13,280,46.4,1,431,16,2/18,2/18,26.93,9.23,17.50,-,CSK,Thakur,2018,2018,Shardul Thakur,5.0,3.0,2.0,2.0,Chennai Super Kings
10,JC Archer (RR),10,10,233,38.5,-,325,15,3/22,3/22,21.66,8.36,15.53,-,RR,Archer,2018,2018,Jofra Archer,6.0,3.0,3.0,4.0,Rajasthan Royals
11,M Markande (MI),14,14,264,44.0,-,368,15,4/23,4/23,24.53,8.36,17.60,1,MI,Markande,2018,2018,Mayank Markande,3.0,2.0,1.0,5.0,Mumbai Indians
12,PP Chawla (KKR),15,15,294,49.0,-,412,14,3/48,3/48,29.42,8.40,21.00,-,KKR,Chawla,2018,2018,Piyush Chawla,5.0,4.0,1.0,3.0,Kolkata Knight Riders
13,Shakib Al Hasan (SRH),17,17,342,57.0,-,456,14,2/18,2/18,32.57,8.00,24.42,-,SRH,Hasan,2018,2018,,,,,1.0,Sunrisers Hyderabad
14,DJ Bravo (CSK),16,16,321,53.3,1,533,14,2/16,2/16,38.07,9.96,22.92,-,CSK,Bravo,2018,2018,Dwayne Bravo,3.0,1.0,2.0,2.0,Chennai Super Kings
15,AD Russell (KKR),16,15,227,37.5,-,355,13,3/31,3/31,27.30,9.38,17.46,-,KKR,Russell,2018,2018,Andre Russell,5.0,1.0,4.0,3.0,Kolkata Knight Riders
1,B Kumar (SRH),14,14,314,52.2,-,369,26,5/19,5/19,14.19,7.05,12.07,-,SRH,Kumar,2017,2017,Bhuvneshwar Kumar,9.0,5.0,4.0,3.0,Sunrisers Hyderabad
2,JD Unadkat (RPS),12,12,275,45.5,3,322,24,5/30,5/30,13.41,7.02,11.45,-,RPS,Unadkat,2017,2017,Jaydev Unadkat,9.0,3.0,6.0,2.0,Rising Pune Supergiant
