id,venue_name,city,venue_id,toss_won,decision,pom,points,super_over,1st_innings_score,2nd_innings_score,home_team,away_team,home_overs,home_runs,home_wickets,home_key_batter,home_key_bowler,away_overs,away_runs,away_wickets,away_key_batter,away_key_bowler,home_pp_runs_scored,home_middle_runs_scored,home_death_runs_scored,home_pp_wickets_lost,middle_wickets_lost,death_wickets_lost,away_pp_runs_scored,away_middle_runs_scored,away_death_runs_scored,away_pp_wickets_lost,away_middle_wickets_lost,away_death_wickets_lost
1359489,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,LSG,BOWL FIRST,Nicholas Pooran,"Lucknow Super Giants 2, Royal Challengers Bangalore 0",FALSE,212/2,213/9,RCB,LSG,20,212,2,"Faf du Plessis *, Virat Kohli ","Mohammed Siraj, Wayne Parnell",20,213,9,"Marcus Stoinis , Nicholas Pooran ","Mark Wood, Amit Mishra",56,81,75,0,0,0,37,134,42,3,3,3
1359491,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,CSK,BOWL FIRST,Ravichandran Ashwin,"Rajasthan Royals 2, Chennai Super Kings 0",FALSE,175/8,172/6,CSK,RR,20,172,6,"Devon Conway , MS Dhoni *","Ravindra Jadeja, Tushar Deshpande",20,175,8,"Jos Buttler , Devdutt Padikkal ","Ravichandran Ashwin, Yuzvendra Chahal",45,68,59,1,1,1,57,78,40,1,1,1
1359492,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh", Chandigarh,57991,GT,BOWL FIRST,Mohit Sharma,"Gujarat Titans 2, Punjab Kings 0",FALSE,153/8,154/4,KXIP,GT,20,153,8,"Matthew Short , Jitesh Sharma ","Harpreet Brar, Sam Curran",19.5,154,4,"Shubman Gill , Wriddhiman Saha ","Mohit Sharma, Rashid Khan",52,47,54,2,2,2,56,55,36,1,1,1
1359493,"Eden Gardens, Kolkata", Kolkata,57980,KKR,BOWL FIRST,Harry Brook,"Sunrisers Hyderabad 2, Kolkata Knight Riders 0",FALSE,228/4,205/7,KKR,SRH,20,205,7,"Nitish Rana , Rinku Singh *","Andre Russell, Varun Chakravarthy",20,228,4,"Harry Brook *, Aiden Markram ","Mayank Markande, Marco Jansen",62,80,63,3,3,3,65,92,71,2,2,2
1359494,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,DC,BOWL FIRST,Virat Kohli,"Royal Challengers Bangalore 2, Delhi Capitals 0",FALSE,174/6,151/9,RCB,DC,20,174,6,"Virat Kohli , Mahipal Lomror ","Vijaykumar Vyshak, Mohammed Siraj",20,151,9,"Manish Pandey , Anrich Nortje *","Kuldeep Yadav, Mitchell Marsh",47,87,40,1,1,1,32,76,43,4,4,4
1359495,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,KXIP,BOWL FIRST,Sikandar Raza,"Punjab Kings 2, Lucknow Super Giants 0",FALSE,159/8,161/8,LSG,KXIP,20,159,8,"KL Rahul , Kyle Mayers ","Yudhvir Singh, Ravi Bishnoi",19.3,161,8,"Sikandar Raza , Matthew Short ","Sam Curran, Kagiso Rabada",49,62,48,0,0,0,45,70,38,3,3,3
1359496,"Wankhede Stadium, Mumbai", Mumbai,58324,MI,BOWL FIRST,Venkatesh Iyer,"Mumbai Indians 2, Kolkata Knight Riders 0",FALSE,185/6,186/5,MI,KKR,17.4,186,5,"Ishan Kishan , Suryakumar Yadav ","Hrithik Shokeen, Piyush Chawla",20,185,6,"Venkatesh Iyer , Andre Russell *","Suyash Sharma, Varun Chakravarthy",72,91,17,1,1,1,57,83,41,2,2,2
1359497,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,RR,BOWL FIRST,Shimron Hetmyer,"Rajasthan Royals 2, Gujarat Titans 0",FALSE,177/7,179/7,GT,RR,20,177,7,"David Miller , Shubman Gill ","Mohammed Shami, Rashid Khan",19.2,179,7,"Sanju Samson , Shimron Hetmyer *","Sandeep Sharma, Adam Zampa",42,77,58,2,2,2,26,88,57,2,2,2
1359498,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,RCB,BOWL FIRST,Devon Conway,"Chennai Super Kings 2, Royal Challengers Bangalore 0",FALSE,226/6,218/8,RCB,CSK,20,218,8,"Glenn Maxwell , Faf du Plessis ","Mohammed Siraj, Glenn Maxwell",20,226,6,"Devon Conway , Shivam Dube ","Tushar Deshpande, Matheesha Pathirana",75,94,49,2,2,2,53,112,61,1,1,1
1359500,"Sawai Mansingh Stadium, Jaipur", Jaipur,58162,RR,BOWL FIRST,Marcus Stoinis,"Lucknow Super Giants 2, Rajasthan Royals 0",FALSE,154/7,144/6,RR,LSG,20,144,6,"Yashasvi Jaiswal , Jos Buttler ","Ravichandran Ashwin, Trent Boult",20,154,7,"Kyle Mayers , KL Rahul ","Avesh Khan, Marcus Stoinis",47,57,40,0,0,0,37,72,45,0,0,0
1359503,"MA Chidambaram Stadium, Chepauk, Chennai", Chennai,58008,CSK,BOWL FIRST,Ravindra Jadeja,"Chennai Super Kings 2, Sunrisers Hyderabad 0",FALSE,134/7,138/3,CSK,SRH,18.4,138,3,"Devon Conway *, Ruturaj Gaikwad ","Ravindra Jadeja, Matheesha Pathirana",20,134,7,"Abhishek Sharma , Rahul Tripathi ","Mayank Markande, Bhuvneshwar Kumar",60,51,21,0,0,0,45,57,31,1,1,1
1359504,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow", Lucknow,1070094,GT,BAT FIRST,Mohit Sharma,"Gujarat Titans 2, Lucknow Super Giants 0",FALSE,135/6,128/7,LSG,GT,20,128,7,"KL Rahul , Kyle Mayers ","Krunal Pandya, Marcus Stoinis",20,135,6,"Hardik Pandya , Wriddhiman Saha ","Noor Ahmad, Mohit Sharma",53,53,22,0,0,0,40,52,43,1,1,1
1359505,"Wankhede Stadium, Mumbai", Mumbai,58324,MI,BOWL FIRST,Sam Curran,"Punjab Kings 2, Mumbai Indians 0",FALSE,214/8,201/6,MI,KXIP,20,201,6,"Cameron Green , Suryakumar Yadav ","Piyush Chawla, Cameron Green",20,214,8,"Sam Curran , Harpreet Singh ","Arshdeep Singh, Nathan Ellis",54,95,52,1,1,1,58,60,96,1,1,1
1359506,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,RR,BOWL FIRST,Glenn Maxwell,"Royal Challengers Bangalore 2, Rajasthan Royals 0",FALSE,189/9,182/6,RCB,RR,20,189,9,"Glenn Maxwell , Faf du Plessis ","Harshal Patel, David Willey",20,182,6,"Devdutt Padikkal , Yashasvi Jaiswal ","Trent Boult, Sandeep Sharma",62,94,33,2,2,2,47,74,61,1,1,1
1359507,"Eden Gardens, Kolkata", Kolkata,57980,KKR,BOWL FIRST,Ajinkya Rahane,"Chennai Super Kings 2, Kolkata Knight Riders 0",FALSE,235/4,186/8,KKR,CSK,20,186,8,"Jason Roy , Rinku Singh *","Kulwant Khejroliya, Suyash Sharma",20,235,4,"Ajinkya Rahane *, Devon Conway ","Maheesh Theekshana, Tushar Deshpande",38,99,49,2,2,2,59,101,75,0,0,0
1359508,"Rajiv Gandhi International Stadium, Uppal, Hyderabad", Hyderabad,58142,DC,BAT FIRST,Axar Patel,"Delhi Capitals 2, Sunrisers Hyderabad 0",FALSE,144/9,137/6,SRH,DC,20,137,6,"Mayank Agarwal , Heinrich Klaasen ","Washington Sundar, Bhuvneshwar Kumar",20,144,9,"Manish Pandey , Axar Patel ","Axar Patel, Anrich Nortje",36,53,48,1,1,1,49,57,38,2,2,2
1359509,"Narendra Modi Stadium, Ahmedabad", Ahmedabad,57851,MI,BOWL FIRST,Abhinav Manohar,"Gujarat Titans 2, Mumbai Indians 0",FALSE,207/6,152/9,GT,MI,20,207,6,"Shubman Gill , David Miller ","Noor Ahmad, Rashid Khan",20,152,9,"Nehal Wadhera , Cameron Green ","Piyush Chawla, Arjun Tendulkar",50,80,77,1,1,1,29,83,40,1,1,1
1359510,"M Chinnaswamy Stadium, Bengaluru", Bengaluru,57897,RCB,BOWL FIRST,Varun Chakravarthy,"Kolkata Knight Riders 2, Royal Challengers Bangalore 0",FALSE,200/5,179/8,RCB,KKR,20,179,8,"Virat Kohli , Mahipal Lomror ","Wanindu Hasaranga, Vijaykumar Vyshak",20,200,5,"Jason Roy , Nitish Rana ","Varun Chakravarthy, Andre Russell",58,80,41,3,3,3,66,65,69,0,0,0
