rank,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year,season,batter,overall_key_count,home_key_count,away_key_count,team_position,Team Name
15,SK Raina (CSK),17,17,1,383,59,23.93,314,121.97,-,3,1,45,9,CSK,Raina,2019,2019,Suresh Raina ,5,3,2,2,Chennai Super Kings
1,KS Williamson (SRH),17,17,3,735,84,52.5,516,142.44,-,8,1,63,28,SRH,Williamson,2018,2018,Kane Williamson,7,2,5,1,Sunrisers Hyderabad
2,RR Pant (DC),14,14,1,684,128*,52.61,394,173.6,1,5,1,68,37,DC,Pant,2018,2018,Rishabh Pant,8,5,3,8,Delhi Capitals
3,KL Rahul (KXIP),14,14,2,659,95*,54.91,416,158.41,-,6,-,66,32,KXIP,Rahul,2018,2018,KL Rahul,7,3,4,7,Kings XI Punjab
4,AT Rayudu (CSK),16,16,2,602,100*,43,402,149.75,1,3,1,53,34,CSK,Rayudu,2018,2018,Ambati Rayudu,5,2,3,2,Chennai Super Kings
5,SR Watson (CSK),15,15,1,555,117*,39.64,359,154.59,2,2,1,44,35,CSK,Watson,2018,2018,Shane Watson ,4,2,2,2,Chennai Super Kings
6,SA Yadav (MI),14,14,0,512,72,36.57,384,133.33,-,4,1,61,16,MI,Yadav,2018,2018,Suryakumar Yadav,6,4,2,5,Mumbai Indians
7,KD Karthik (KKR),16,16,6,498,52,49.8,337,147.77,-,2,-,49,16,KKR,Karthik,2018,2018,Dinesh Karthik ,8,5,3,3,Kolkata Knight Riders
8,S Dhawan (SRH),16,16,3,497,92*,38.23,363,136.91,-,4,1,59,14,SRH,Dhawan,2018,2018,Shikhar Dhawan,5,3,2,1,Sunrisers Hyderabad
9,CA Lynn (KKR),16,16,1,491,74,32.73,377,130.23,-,3,1,56,18,KKR,Lynn,2018,2018,Chris Lynn,7,5,2,3,Kolkata Knight Riders
10,MS Dhoni (CSK),16,15,9,455,79*,75.83,302,150.66,-,3,-,24,30,CSK,Dhoni,2018,2018,MS Dhoni ,3,2,1,2,Chennai Super Kings
11,SK Raina (CSK),15,15,3,445,75*,37.08,336,132.44,-,4,-,46,12,CSK,Raina,2018,2018,Suresh Raina ,4,2,2,2,Chennai Super Kings
12,SV Samson (RR),15,15,1,441,92*,31.5,320,137.81,-,3,1,30,19,RR,Samson,2018,2018,Sanju Samson,4,1,3,4,Rajasthan Royals
13,SS Iyer (DC),14,14,3,411,93*,37.36,310,132.58,-,4,-,29,21,DC,Iyer,2018,2018,Shreyas Iyer ,3,1,2,8,Delhi Capitals
14,E Lewis (MI),13,13,0,382,65,29.38,276,138.4,-,2,2,32,24,MI,Lewis,2018,2018,Evin Lewis ,4,3,1,5,Mumbai Indians
15,AM Rahane (RR),15,14,1,370,65*,28.46,313,118.21,-,1,-,39,5,RR,Rahane,2018,2018,Ajinkya Rahane ,5,2,3,4,Rajasthan Royals
1,DA Warner (SRH),14,14,3,641,126,58.27,452,141.81,1,4,-,63,26,SRH,Warner,2017,2017,David Warner,8,5,3,3,Sunrisers Hyderabad
2,G Gambhir (KKR),16,16,4,498,76*,41.5,389,128.02,-,4,-,62,7,KKR,Gambhir,2017,2017,Gautam Gambhir ,3,1,2,4,Kolkata Knight Riders
3,S Dhawan (SRH),14,14,1,479,77,36.84,376,127.39,-,3,-,53,9,SRH,Dhawan,2017,2017,Shikhar Dhawan,2,1,1,3,Sunrisers Hyderabad
4,SPD Smith (RPS),15,15,3,472,84*,39.33,387,121.96,-,3,-,38,12,RPS,Smith,2017,2017,Steven Smith,5,3,2,2,Rising Pune Supergiant
5,PA Patel (MI),16,16,0,395,70,24.68,293,134.81,-,2,2,49,8,MI,Patel,2017,2017,Parthiv Patel ,4,3,1,1,Mumbai Indians
6,RA Tripathi (RPS),14,14,0,391,93,27.92,267,146.44,-,2,1,43,17,RPS,Tripathi,2017,2017,Rahul Tripathi,3,0,3,2,Rising Pune Supergiant
7,RV Uthappa (KKR),14,13,0,388,87,29.84,235,165.1,-,5,1,36,21,KKR,Uthappa,2017,2017,Robin Uthappa,4,2,2,4,Kolkata Knight Riders
8,SV Samson (DC),14,14,0,386,102,27.57,273,141.39,1,2,2,32,19,DC,Samson,2017,2017,Sanju Samson,3,1,2,6,Delhi Capitals
9,KA Pollard (MI),17,16,3,385,70,29.61,276,139.49,-,3,-,26,22,MI,Pollard,2017,2017,Kieron Pollard ,3,2,1,1,Mumbai Indians
10,AM Rahane (RPS),16,16,1,382,60,25.46,323,118.26,-,2,2,35,9,RPS,Rahane,2017,2017,Ajinkya Rahane ,6,2,4,2,Rising Pune Supergiant
11,RR Pant (DC),14,14,0,366,97,26.14,221,165.61,-,2,3,28,24,DC,Pant,2017,2017,Rishabh Pant,4,2,2,6,Delhi Capitals
12,SS Iyer (DC),12,12,2,338,96,33.79,243,139.09,-,2,-,36,10,DC,Iyer,2017,2017,Shreyas Iyer,3,1,2,6,Delhi Capitals
13,RG Sharma (MI),17,16,2,333,67,23.78,273,121.97,-,3,1,31,9,MI,Sharma,2017,2017,Rohit Sharma ,4,3,1,1,Mumbai Indians
14,MK Tiwary (RPS),15,13,3,324,60,32.4,236,137.28,-,2,1,31,11,RPS,Tiwary,2017,2017,Manoj Tiwary,2,0,2,2,Rising Pune Supergiant
15,BA Stokes (RPS),12,11,1,316,103*,31.6,221,142.98,1,1,-,22,15,RPS,Stokes,2017,2017,Ben Stokes,4,1,3,2,Rising Pune Supergiant
1,V Kohli (RCB),16,16,4,973,113,81.08,640,152.03,4,7,1,83,38,RCB,Kohli,2016,2016,Virat Kohli,6,3,3,2,Royal Challengers Bangalore
2,DA Warner (SRH),17,17,3,848,93*,60.57,560,151.42,-,9,1,88,31,SRH,Warner,2016,2016,David Warner,12,6,6,3,Sunrisers Hyderabad
3,AB de Villiers (RCB),16,16,3,687,129*,52.84,407,168.79,1,6,1,57,37,RCB,deVilliers,2016,2016,AB de Villiers,6,3,3,2,Royal Challengers Bangalore
4,G Gambhir (KKR),15,15,2,501,90*,38.53,411,121.89,-,5,1,54,6,KKR,Gambhir,2016,2016,Gautam Gambhir,5,3,2,4,Kolkata Knight Riders
5,S Dhawan (SRH),17,17,4,501,82*,38.53,429,116.78,-,4,1,51,8,SRH,Dhawan,2016,2016,Shikhar Dhawan,6,2,4,3,Sunrisers Hyderabad
6,Q de Kock (DC),13,13,1,445,108,37.08,327,136.08,1,3,-,52,13,DC,deKock,2016,2016,Quinton de Kock,7,2,5,6,Delhi Capitals
7,SK Raina (GL),15,15,1,399,75,28.5,312,127.88,-,3,-,39,10,GL,Raina,2016,2016,Suresh Raina,2,2,0,1,Gujarat Lions
8,KL Rahul (RCB),14,12,3,397,68*,44.11,271,146.49,-,4,1,37,16,RCB,Rahul,2016,2016,KL Rahul ,4,1,3,2,Royal Challengers Bangalore
9,RV Uthappa (KKR),15,15,0,394,72,26.26,289,136.33,-,3,1,45,8,KKR,Uthappa,2016,2016,Robin Uthappa ,4,1,3,4,Kolkata Knight Riders
10,AJ Finch (GL),13,12,2,393,74,39.29,299,131.43,-,5,2,45,11,GL,Finch,2016,2016,Aaron Finch,4,1,3,1,Gujarat Lions
11,YK Pathan (KKR),15,13,8,361,63*,72.2,248,145.56,-,3,-,33,13,KKR,Pathan,2016,2016,Yusuf Pathan,4,2,2,4,Kolkata Knight Riders
12,KK Nair (DC),14,12,2,357,83*,35.7,297,120.2,-,3,-,40,6,DC,Nair,2016,2016,Karun Nair,3,2,1,6,Delhi Capitals
13,BB McCullum (GL),16,16,0,354,60,22.12,262,135.11,-,1,1,38,16,GL,McCullum,2016,2016,Brendon McCullum ,4,3,1,1,Gujarat Lions
14,KD Karthik (GL),16,15,2,335,53,25.76,266,125.93,-,3,1,38,3,GL,Karthik,2016,2016,Dinesh Karthik,2,1,1,1,Gujarat Lions
15,DR Smith (GL),12,12,1,324,73,29.45,221,146.6,-,3,1,35,16,GL,Smith,2016,2016,Steven Smith ,3,2,1,1,Gujarat Lions
1,DA Warner (SRH),14,14,1,562,91,43.23,359,156.54,-,7,-,65,21,SRH,Warner,2015,2015,David Warner,6,3,3,6,Sunrisers Hyderabad
2,LMP Simmons (MI),13,13,1,540,71,45,441,122.44,-,6,1,56,21,MI,Simmons,2015,2015,Lendl Simmons,6,2,4,2,Mumbai Indians
3,AM Rahane (RR),14,13,2,540,91*,49.09,413,130.75,-,4,1,53,13,RR,Rahane,2015,2015,Ajinkya Rahane,5,4,1,4,Rajasthan Royals
4,AB de Villiers (RCB),16,14,3,513,133*,46.63,293,175.08,1,2,1,60,22,RCB,deVilliers,2015,2015,AB de Villiers ,4,2,2,3,Royal Challengers Bangalore
5,V Kohli (RCB),16,16,5,505,82*,45.9,386,130.82,-,3,-,35,23,RCB,Kohli,2015,2015,Virat Kohli,5,2,3,3,Royal Challengers Bangalore
