rank,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year,season,batter,overall_key_count,home_key_count,away_key_count,team_position,Team Name
4,SC Ganguly (KKR),14,14,1,493,88,37.92,419,117.66,-,4,1,58,15,KKR,Ganguly,2010,2010,Sourav Ganguly ,4,2,2,6,Kolkata Knight Riders
5,M Vijay (CSK),15,15,2,458,127,35.23,292,156.84,1,2,1,36,26,CSK,Vijay,2010,2010,Murali Vijay ,4,2,2,3,Chennai Super Kings
6,DPMD Jayawardene (KXIP),13,13,3,439,110*,43.9,298,147.31,1,1,1,55,11,KXIP,Jayawardene,2010,2010,Mahela Jayawardene,4,1,3,8,Kings XI Punjab
7,A Symonds (DC),16,16,2,429,54,30.64,341,125.8,-,4,-,35,18,DC,Symonds,2010,2010,Andrew Symonds ,4,1,3,2,Deccan Chargers
8,SS Tiwary (MI),16,15,1,419,61,29.92,309,135.59,-,3,1,29,18,MI,Tiwary,2010,2010,Saurabh Tiwary ,6,5,1,1,Mumbai Indians
9,RG Sharma (DC),16,16,2,404,73,28.85,302,133.77,-,3,1,36,14,DC,Sharma,2010,2010,Rohit Sharma,4,2,2,2,Deccan Chargers
10,RV Uthappa (RCB),16,14,2,374,68*,31.16,218,171.55,-,3,-,21,27,RCB,Uthappa,2010,2010,Robin Uthappa ,6,3,3,4,Royal Challengers Bangalore
11,KC Sangakkara (KXIP),13,12,0,357,56,29.75,257,138.91,-,2,1,47,5,KXIP,Sangakkara,2010,2010,Kumar Sangakkara ,4,2,2,8,Kings XI Punjab
12,V Sehwag (DC),14,14,0,356,75,25.42,218,163.3,-,3,1,47,14,DC,Sehwag,2010,2010,Virender Sehwag,3,1,2,2,Deccan Chargers
13,AT Rayudu (MI),14,14,1,356,55*,27.38,246,144.71,-,2,1,34,13,MI,Rayudu,2010,2010,Ambati Rayudu ,3,1,2,1,Mumbai Indians
14,S Badrinath (CSK),16,15,4,356,55*,32.36,303,117.49,-,2,-,41,5,CSK,Badrinath,2010,2010,S Badrinath ,4,0,4,3,Chennai Super Kings
15,ML Hayden (CSK),16,16,0,346,93,21.62,279,124.01,-,1,1,37,16,CSK,Hayden,2010,2010,Matthew Hayden,3,1,2,3,Chennai Super Kings
1,ML Hayden (CSK),12,12,1,572,89,52,395,144.81,-,5,-,60,22,CSK,Hayden,2009,2009,Matthew Hayden,7,5,2,2,Chennai Super Kings
2,AC Gilchrist (DC),16,16,0,495,85,30.93,325,152.3,-,3,2,54,29,DC,Gilchrist,2009,2009,Adam Gilchrist,3,3,0,4,Deccan Chargers
3,AB de Villiers (DC),15,13,4,465,105*,51.66,355,130.98,1,3,1,39,12,DC,deVilliers,2009,2009,AB de Villiers,5,4,1,4,Deccan Chargers
4,SK Raina (CSK),14,14,0,434,98,31,308,140.9,-,2,-,37,21,CSK,Raina,2009,2009,Suresh Raina ,3,3,0,2,Chennai Super Kings
5,TM Dilshan (DC),14,13,3,418,67*,41.8,341,122.58,-,4,-,42,13,DC,Dilshan,2009,2009,Tillakaratne Dilshan,3,1,2,4,Deccan Chargers
6,JP Duminy (MI),13,12,3,372,62,41.33,325,114.46,-,5,1,26,11,MI,Duminy,2009,2009,Jean-Paul Duminy,7,2,5,7,Mumbai Indians
7,HH Gibbs (DC),14,14,3,371,69*,33.72,331,112.08,-,4,4,32,12,DC,Gibbs,2009,2009,Herschelle Gibbs,3,1,2,4,Deccan Chargers
8,BJ Hodge (KKR),12,12,3,365,73,40.55,310,117.74,-,3,1,34,9,KKR,Hodge,2009,2009,Brad Hodge,4,1,3,8,Kolkata Knight Riders
9,SR Tendulkar (MI),13,13,2,364,68,33.09,303,120.13,-,2,1,39,10,MI,Tendulkar,2009,2009,Sachin Tendulkar ,5,1,4,7,Mumbai Indians
10,RG Sharma (DC),16,16,3,362,52,27.84,315,114.92,-,1,-,22,18,DC,Sharma,2009,2009,Rohit Sharma ,3,2,1,4,Deccan Chargers
11,JH Kallis (RCB),15,15,2,361,69*,27.76,332,108.73,-,3,2,37,8,RCB,Kallis,2009,2009,Jacques Kallis,4,4,0,3,Royal Challengers Bangalore
12,Yuvraj Singh (KXIP),14,14,2,340,58*,28.33,294,115.64,-,2,-,25,16,KXIP,Singh,2009,2009,Yuvraj Singh,4,2,2,5,Kings XI Punjab
13,MS Dhoni (CSK),14,13,5,332,58*,41.5,261,127.2,-,2,-,22,9,CSK,Dhoni,2009,2009,MS Dhoni ,6,5,1,2,Chennai Super Kings
14,KC Sangakkara (KXIP),14,13,2,332,60,30.18,324,102.46,-,2,1,29,5,KXIP,Sangakkara,2009,2009,Kumar Sangakkara,4,2,2,5,Kings XI Punjab
15,RA Jadeja (RR),13,13,2,295,42,26.81,266,110.9,-,-,-,21,6,RR,Jadeja,2009,2009,Ravindra Jadeja ,5,1,4,6,Rajasthan Royals
1,SE Marsh (KXIP),11,11,2,616,115,68.44,441,139.68,1,5,-,59,26,KXIP,Marsh,2008,2008,Shaun Marsh,10,5,5,2,Kings XI Punjab
2,G Gambhir (DC),14,14,1,534,86,41.07,379,140.89,-,5,-,68,8,DC,Gambhir,2008,2008,Gautam Gambhir ,5,2,3,8,Deccan Chargers
3,ST Jayasuriya (MI),14,14,2,514,114*,42.83,309,166.34,1,2,-,57,31,MI,Jayasuriya,2008,2008,Sanath Jayasuriya,6,3,3,5,Mumbai Indians
4,SR Watson (RR),15,15,5,472,76*,47.2,311,151.76,-,4,1,46,19,RR,Watson,2008,2008,Shane Watson,4,2,2,1,Rajasthan Royals
5,GC Smith (RR),11,11,2,441,91,49,362,121.82,-,3,-,54,8,RR,Smith,2008,2008,Graeme Smith,5,3,2,1,Rajasthan Royals
6,AC Gilchrist (DC),14,14,1,436,109*,33.53,318,137.1,1,3,-,51,19,DC,Gilchrist,2008,2008,Adam Gilchrist,2,0,2,8,Deccan Chargers
7,YK Pathan (RR),16,15,1,435,68,31.07,243,179.01,-,4,-,43,25,RR,Pathan,2008,2008,Yusuf Pathan ,5,2,3,1,Rajasthan Royals
8,SK Raina (CSK),16,14,3,421,55*,38.27,295,142.71,-,3,-,35,18,CSK,Raina,2008,2008,Suresh Raina,5,4,1,3,Chennai Super Kings
9,MS Dhoni (CSK),16,14,4,414,65,41.4,310,133.54,-,2,-,38,15,CSK,Dhoni,2008,2008,MS Dhoni ,6,4,2,3,Chennai Super Kings
10,V Sehwag (DC),14,14,2,406,94*,33.83,220,184.54,-,3,2,46,21,DC,Sehwag,2008,2008,Virender Sehwag,5,2,3,8,Deccan Chargers
11,RG Sharma (DC),13,12,1,404,76*,36.72,273,147.98,-,4,1,38,19,DC,Sharma,2008,2008,Rohit Sharma,3,0,3,8,Deccan Chargers
12,R Dravid (RCB),14,14,1,371,75*,28.53,298,124.49,-,2,2,35,11,RCB,Dravid,2008,2008,Rahul Dravid ,5,1,4,7,Royal Challengers Bangalore
13,SC Ganguly (KKR),13,13,1,349,91,29.08,307,113.68,-,3,-,33,15,KKR,Ganguly,2008,2008,Sourav Ganguly,4,2,2,6,Kolkata Knight Riders
14,S Dhawan (DC),14,14,5,340,68*,37.77,295,115.25,-,4,1,35,8,DC,Dhawan,2008,2008,Shikhar Dhawan ,5,5,0,8,Deccan Chargers
15,KC Sangakkara (KXIP),10,9,0,320,94,35.55,198,161.61,-,4,-,41,8,KXIP,Sangakkara,2008,2008,Kumar Sangakkara ,4,3,1,2,Kings XI Punjab
