rank,year,player_url,player_id,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,team,batter_surname,year_neg_batting_clutch_metric,year_matches_played,year_pos_batting_clutch_metric
2,2021,/cricketers/david-warner-219889,219889,DA Warner (AUS),2021-2021,7,7,1,289,89*,48.16,197,146.70,0,3,0,32,10,AUS,Warner,-4.166666666666666,7,235.760174
3,2021,/cricketers/mohammad-rizwan-323389,323389,Mohammad Rizwan (PAK),2021-2021,6,6,2,281,79*,70.25,220,127.72,0,3,0,23,12,PAK,Rizwan,-79.96165174224133,26,1016.417125
4,2021,/cricketers/jos-buttler-308967,308967,JC Buttler (ENG),2021-2021,6,6,3,269,101*,89.66,178,151.12,1,1,0,22,13,ENG,Buttler,-98.90201068432364,14,415.3675920000002
5,2021,/cricketers/charith-asalanka-784367,784367,KIC Asalanka (SL),2021-2021,6,6,1,231,80*,46.20,157,147.13,0,2,0,23,9,SL,Asalanka,-48.065850112317065,10,275.40480499999995
6,2021,/cricketers/david-wiese-221140,221140,D Wiese (NAM),2021-2021,8,8,3,227,66*,45.40,178,127.52,0,1,0,13,11,NAM,Wiese,-70.20058430364973,22,213.81893
7,2021,/cricketers/pathum-nissanka-1028655,1028655,P Nissanka (SL),2021-2021,8,8,0,221,72,27.62,188,117.55,0,3,1,19,5,SL,Nissanka,-64.4779913558783,11,349.23866499999997
8,2021,/cricketers/kane-williamson-277906,277906,KS Williamson (NZ),2021-2021,7,7,2,216,85,43.20,187,115.50,0,1,1,20,5,NZ,Williamson,-38.69797179741711,12,244.675348
9,2021,/cricketers/martin-guptill-226492,226492,MJ Guptill (NZ),2021-2021,7,7,0,208,93,29.71,172,120.93,0,1,0,21,8,NZ,Guptill,-81.41682955910203,18,617.1335320000002
10,2021,/cricketers/daryl-mitchell-381743,381743,DJ Mitchell (NZ),2021-2021,7,7,1,208,72*,34.66,148,140.54,0,1,0,15,10,NZ,Mitchell,-96.54444405819427,14,406.98546600000003
11,2021,/cricketers/kl-rahul-422108,422108,KL Rahul (IND),2021-2021,5,5,1,194,69,48.50,127,152.75,0,3,0,19,7,IND,Rahul,-91.15657754010695,11,257.48494
12,2021,/cricketers/mitchell-marsh-272450,272450,MR Marsh (AUS),2021-2021,6,5,2,185,77*,61.66,126,146.82,0,2,0,17,8,AUS,Marsh,-115.07108003893721,30,432.5285569999999
13,2021,/cricketers/rassie-van-der-dussen-337790,337790,HE van der Dussen (SA),2021-2021,5,5,2,177,94*,59.00,152,116.44,0,1,0,10,6,SA,Dussen,-71.68033795374211,14,301.316134
14,2021,/cricketers/richie-berrington-25490,25490,RD Berrington (SCOT),2021-2021,8,8,2,177,70,29.50,138,128.26,0,2,3,12,8,SCOT,Berrington,-101.5382802143351,16,235.27589700000001
15,2021,/cricketers/rohit-sharma-34102,34102,RG Sharma (IND),2021-2021,5,5,0,174,74,34.80,115,151.30,0,2,1,21,7,IND,Sharma,-61.91933273123307,11,427.830424
1,2016,/cricketers/tamim-iqbal-56194,56194,Tamim Iqbal (BAN),2016-2016,6,6,2,295,103*,73.75,207,142.51,1,1,0,24,14,BAN,Iqbal,-59.64017464183721,10,264.34570699999995
2,2016,/cricketers/virat-kohli-253802,253802,V Kohli (IND),2016-2016,5,5,3,273,89*,136.50,186,146.77,0,3,0,29,5,IND,Kohli,-62.94752564932476,14,412.15164
3,2016,/cricketers/joe-root-303669,303669,JE Root (ENG),2016-2016,6,6,1,249,83,49.80,170,146.47,0,2,0,24,7,ENG,Root,-56.8580756872927,12,320.876312
4,2016,/cricketers/mohammad-shahzad-419873,419873,Mohammad Shahzad (AFG),2016-2016,7,7,0,222,61,31.71,158,140.50,0,1,0,23,12,AFG,Shahzad,-31.00310439710321,15,886.4970299999999
5,2016,/cricketers/jos-buttler-308967,308967,JC Buttler (ENG),2016-2016,6,6,2,191,66*,47.75,120,159.16,0,1,0,13,12,ENG,Buttler,-49.83789948722124,10,308.105142
6,2016,/cricketers/jason-roy-298438,298438,JJ Roy (ENG),2016-2016,6,6,0,183,78,30.50,123,148.78,0,1,1,22,7,ENG,Roy,-64.89198170731707,10,373.127966
7,2016,/cricketers/marlon-samuels-52983,52983,MN Samuels (WI),2016-2016,6,6,1,181,85*,36.20,161,112.42,0,1,0,26,2,WI,Samuels,-40.756174202593755,10,274.247522
8,2016,/cricketers/quinton-de-kock-379143,379143,Q de Kock (SA),2016-2016,4,4,0,153,52,38.25,107,142.99,0,1,0,18,6,SA,Kock,-96.38340902631279,7,125.99679
9,2016,/cricketers/sabbir-rahman-373538,373538,Sabbir Rahman (BAN),2016-2016,7,7,1,147,44,24.50,119,123.52,0,0,0,17,4,BAN,Rahman,-106.22401140770286,20,323.047048
10,2016,/cricketers/usman-khawaja-215155,215155,UT Khawaja (AUS),2016-2016,4,4,0,143,58,35.75,104,137.50,0,1,0,22,2,AUS,Khawaja,-46.79760140743886,9,258.829033
11,2016,/cricketers/asghar-afghan-320652,320652,Asghar Afghan (AFG),2016-2016,7,6,1,141,62,28.20,131,107.63,0,2,1,5,7,AFG,Afghan,-32.16032018558141,15,616.7763549999999
12,2016,/cricketers/martin-guptill-226492,226492,MJ Guptill (NZ),2016-2016,4,4,0,140,80,35.00,89,157.30,0,1,0,15,8,NZ,Guptill,-14.850186007440294,9,511.53954
13,2016,/cricketers/tillakaratne-dilshan-48472,48472,TM Dilshan (SL),2016-2016,4,4,1,133,83*,44.33,108,123.14,0,1,0,13,5,SL,Dilshan,-115.64760835104877,19,154.039472
14,2016,/cricketers/shakib-al-hasan-56143,56143,Shakib Al Hasan (BAN),2016-2016,7,7,3,129,50*,32.25,102,126.47,0,1,0,10,5,BAN,Hasan,-117.6264943923759,30,317.007306
15,2016,/cricketers/noor-ali-zadran-318340,318340,Noor Ali Zadran (AFG),2016-2016,6,6,0,124,35,20.66,129,96.12,0,0,0,9,2,AFG,Zadran,-27.283303394900376,8,244.590972
1,2014,/cricketers/virat-kohli-253802,253802,V Kohli (IND),2014-2014,6,6,3,319,77,106.33,247,129.14,0,4,0,24,10,IND,Kohli,-39.89603852140985,7,185.794836
2,2014,/cricketers/tom-cooper-219885,219885,TLW Cooper (NED),2014-2014,7,7,3,231,72*,57.75,168,137.50,0,1,0,22,10,NED,Cooper,-24.03861061800928,11,280.01390299999997
