date,venue_link,venue_name,match_url,match_id
"Oct 3, 2019",/cricket-grounds/el-cortijo-polo-club-pitch-b-ground-lima-1200185,Cortijo Polo Club Pitch B,/series/sa-men-s-championships-2019-20-1200186/brazil-vs-chile-2nd-match-1200203/full-scorecard,904
"Oct 3, 2019",/cricket-grounds/el-cortijo-polo-club-pitch-a-ground-lima-1200184,Cortijo Polo Club Pitch A,/series/sa-men-s-championships-2019-20-1200186/argentina-vs-mexico-1st-match-1200202/full-scorecard,903
"Oct 3, 2019",/cricket-grounds/indian-association-ground-singapore-419210,Singapore,/series/singapore-twenty20-tri-2019-20-1201676/singapore-vs-zimbabwe-6th-match-1201685/full-scorecard,902
"Oct 3, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/vanuatu-tour-of-malaysia-2019-20-1202005/malaysia-vs-vanuatu-4th-t20i-1202010/full-scorecard,901
"Oct 2, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/vanuatu-tour-of-malaysia-2019-20-1202005/malaysia-vs-vanuatu-3rd-t20i-1202009/full-scorecard,900
"Oct 1-2, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/vanuatu-tour-of-malaysia-2019-20-1202005/malaysia-vs-vanuatu-2nd-t20i-1202008/full-scorecard,898
"Sep 29, 2019",/cricket-grounds/indian-association-ground-singapore-419210,Singapore,/series/singapore-twenty20-tri-2019-20-1201676/singapore-vs-zimbabwe-3rd-match-1201682/full-scorecard,897
"Sep 29, 2019",/cricket-grounds/kinrara-academy-oval-kuala-lumpur-256592,Kuala Lumpur,/series/vanuatu-tour-of-malaysia-2019-20-1202005/malaysia-vs-vanuatu-1st-t20i-1202007/full-scorecard,896
"Sep 1, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/austria-vs-czech-republic-final-1198902/full-scorecard,877
"Sep 1, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/czech-republic-vs-luxembourg-10th-match-1198901/full-scorecard,876
"Aug 31, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/austria-vs-turkey-9th-match-1198900/full-scorecard,875
"Aug 31, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/romania-vs-czech-republic-8th-match-1198899/full-scorecard,874
"Aug 31, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/austria-vs-luxembourg-7th-match-1198898/full-scorecard,873
"Aug 30, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/czech-republic-vs-turkey-6th-match-1197846/full-scorecard,872
"Aug 30, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/romania-vs-luxembourg-5th-match-1197845/full-scorecard,871
"Aug 30, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/austria-vs-czech-republic-4th-match-1197844/full-scorecard,870
"Aug 29, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/romania-vs-turkey-3rd-match-1197841/full-scorecard,869
"Aug 29, 2019",/cricket-grounds/moara-vlasiei-cricket-ground-1197827,Ilfov County,/series/continental-cup-2019-1197819/luxembourg-vs-turkey-2nd-match-1197843/full-scorecard,868
